날짜,종가,시가,고가,저가,거래량,변동 %
2025-09-18,"3,461.30","3,432.77","3,461.30","3,422.77",386.81M,1.40%
2025-09-17,"3,413.40","3,433.83","3,433.83","3,406.75",326.61M,-1.05%
2025-09-16,"3,449.62","3,421.13","3,452.50","3,418.10",406.21M,1.24%
2025-09-15,"3,407.31","3,407.78","3,420.23","3,391.33",378.85M,0.35%
2025-09-12,"3,395.54","3,374.65","3,395.54","3,362.86",448.86M,1.54%
2025-09-11,"3,344.20","3,336.60","3,344.70","3,311.86",435.59M,0.90%
2025-09-10,"3,314.53","3,272.20","3,317.77","3,272.07",564.71M,1.67%
2025-09-09,"3,260.05","3,231.31","3,260.05","3,221.98",439.95M,1.26%
2025-09-08,"3,219.59","3,209.81","3,221.14","3,206.34",372.30M,0.45%
2025-09-05,"3,205.12","3,208.83","3,214.64","3,196.19",323.84M,0.13%
2025-09-04,"3,200.83","3,188.84","3,205.61","3,185.49",286.26M,0.52%
2025-09-03,"3,184.42","3,177.75","3,187.48","3,167.23",335.82M,0.38%
2025-09-02,"3,172.35","3,155.73","3,174.16","3,151.93",310.68M,0.94%
2025-09-01,"3,142.93","3,164.58","3,177.40","3,135.02",260.14M,-1.35%
2025-08-29,"3,186.01","3,208.80","3,212.69","3,184.48",245.13M,-0.32%
2025-08-28,"3,196.32","3,175.33","3,211.34","3,164.08",312.19M,0.29%
2025-08-27,"3,187.16","3,185.87","3,189.31","3,165.77",281.72M,0.25%
2025-08-26,"3,179.36","3,199.92","3,199.92","3,175.31",325.35M,-0.95%
2025-08-25,"3,209.86","3,195.14","3,209.86","3,180.12",220.16M,1.30%
2025-08-22,"3,168.73","3,165.41","3,181.95","3,159.45",236.80M,0.86%
2025-08-21,"3,141.74","3,140.71","3,166.54","3,134.86",276.92M,0.37%
2025-08-20,"3,130.09","3,121.52","3,132.83","3,079.27",335.28M,-0.68%
2025-08-19,"3,151.56","3,185.04","3,185.48","3,142.48",285.29M,-0.81%
2025-08-18,"3,177.28","3,202.63","3,206.77","3,177.28",326.13M,-1.50%
