"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 09- 18","353,000","338,500","357,000","336,500","4.14M","5.85%"
"2025- 09- 17","333,500","341,000","342,500","333,500","4.35M","-4.17%"
"2025- 09- 16","348,000","331,500","354,000","331,500","5.71M","5.14%"
"2025- 09- 15","331,000","339,500","341,500","325,000","4.18M","0.76%"
"2025- 09- 12","328,500","322,000","329,500","319,000","4.20M","7.00%"
"2025- 09- 11","307,000","310,000","315,000","305,500","4.87M","0.99%"
"2025- 09- 10","304,000","294,500","305,000","293,000","5.26M","5.56%"
"2025- 09- 09","288,000","278,000","288,500","277,000","3.98M","3.97%"
"2025- 09- 08","277,000","278,500","279,000","274,000","2.02M","1.28%"
"2025- 09- 05","273,500","273,000","275,000","272,000","3.04M","3.01%"
"2025- 09- 04","265,500","267,000","271,000","264,500","2.19M","1.14%"
"2025- 09- 03","262,500","259,500","265,500","257,750","2.42M","0.77%"
"2025- 09- 02","260,500","256,000","261,500","256,000","1.58M","1.76%"
"2025- 09- 01","256,000","259,500","261,000","255,000","1.78M","-4.83%"
"2025- 08- 29","269,000","268,000","270,000","266,000","1.80M","0.19%"
"2025- 08- 28","268,500","254,000","268,500","253,000","2.92M","3.27%"
"2025- 08- 27","260,000","259,000","261,000","256,000","2.56M","-0.57%"
"2025- 08- 26","261,500","259,500","262,500","257,000","2.00M","0.77%"
"2025- 08- 25","259,500","256,000","261,500","254,000","2.75M","3.39%"
"2025- 08- 22","251,000","245,500","252,500","245,500","3.06M","2.45%"
"2025- 08- 21","245,000","246,500","251,000","245,000","5.93M","-4.11%"
"2025- 08- 20","255,500","254,500","257,000","251,000","3.41M","-2.85%"
"2025- 08- 19","263,000","268,500","270,000","261,500","1.69M","-1.68%"
"2025- 08- 18","267,500","272,000","272,000","267,000","1.93M","-3.25%"
"2025- 08- 14","276,500","277,500","277,500","270,500","2.08M","-0.54%"
"2025- 08- 13","278,000","278,000","279,000","274,000","3.46M","3.35%"
"2025- 08- 12","269,000","268,000","276,000","267,500","2.99M","0.75%"
"2025- 08- 11","267,000","260,500","267,500","260,000","2.27M","4.09%"
"2025- 08- 08","256,500","262,000","266,000","255,500","2.63M","-2.10%"
"2025- 08- 07","262,000","258,000","263,000","250,000","2.71M","1.35%"
"2025- 08- 06","258,500","260,500","260,500","257,500","1.37M","-1.90%"
"2025- 08- 05","263,500","264,000","264,500","260,500","2.11M","2.13%"
"2025- 08- 04","258,000","254,500","260,000","254,000","2.28M","0.00%"
"2025- 08- 01","258,000","266,000","267,000","257,000","3.18M","-5.67%"
"2025- 07- 31","273,500","271,000","274,000","265,500","3.47M","3.80%"
"2025- 07- 30","263,500","263,000","266,000","260,500","2.48M","0.38%"
"2025- 07- 29","262,500","254,500","265,000","254,500","2.89M","0.19%"
"2025- 07- 28","262,000","261,000","265,500","258,500","2.88M","-1.50%"
"2025- 07- 25","266,000","273,000","275,000","265,500","2.17M","-1.30%"
"2025- 07- 24","269,500","277,000","279,000","269,000","3.64M","0.19%"
"2025- 07- 23","269,000","267,500","271,000","264,500","3.08M","0.19%"
"2025- 07- 22","268,500","273,000","273,500","267,000","2.98M","-1.47%"
"2025- 07- 21","272,500","267,500","274,500","266,500","2.42M","1.30%"
"2025- 07- 18","269,000","270,000","275,000","267,000","5.25M","-0.19%"
"2025- 07- 17","269,500","283,500","289,500","268,000","9.27M","-8.95%"
"2025- 07- 16","296,000","298,500","299,500","292,500","2.81M","-0.84%"
"2025- 07- 15","298,500","296,000","298,500","290,000","4.02M","-0.50%"
"2025- 07- 14","300,000","292,500","302,500","292,500","2.94M","1.87%"
"2025- 07- 11","294,500","299,500","306,500","292,000","3.59M","-0.84%"
