"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 09- 18","46,142.42","46,056.55","46,317.52","45,954.73","495.16M","0.27%"
"2025- 09- 17","46,018.32","45,778.40","46,261.95","45,687.59","512.40M","0.57%"
"2025- 09- 16","45,757.90","45,919.54","45,967.11","45,667.42","443.41M","-0.27%"
"2025- 09- 15","45,883.45","45,848.39","45,978.43","45,771.88","405.19M","0.11%"
"2025- 09- 12","45,834.22","46,077.14","46,077.14","45,813.93","421.74M","-0.59%"
"2025- 09- 11","46,108.00","45,577.09","46,137.20","45,577.09","448.35M","1.36%"
"2025- 09- 10","45,490.92","45,731.50","45,731.50","45,380.06","579.92M","-0.48%"
"2025- 09- 09","45,711.34","45,547.62","45,764.20","45,433.51","449.66M","0.43%"
"2025- 09- 08","45,514.95","45,430.61","45,542.56","45,277.73","472.24M","0.25%"
"2025- 09- 05","45,400.86","45,656.49","45,770.20","45,211.78","558.93M","-0.48%"
"2025- 09- 04","45,621.29","45,204.87","45,632.39","45,160.74","457.49M","0.77%"
"2025- 09- 03","45,271.23","45,309.43","45,309.43","44,980.36","479.21M","-0.05%"
"2025- 09- 02","45,295.81","45,287.73","45,295.81","44,948.16","533.19M","-0.55%"
"2025- 08- 29","45,544.88","45,590.96","45,616.16","45,377.21","497.40M","-0.20%"
"2025- 08- 28","45,636.90","45,581.03","45,682.83","45,442.68","540.89M","0.16%"
"2025- 08- 27","45,565.23","45,417.46","45,621.08","45,372.78","430.99M","0.32%"
"2025- 08- 26","45,418.07","45,236.83","45,437.62","45,192.29","490.98M","0.30%"
"2025- 08- 25","45,282.47","45,605.25","45,605.25","45,273.09","393.96M","-0.77%"
"2025- 08- 22","45,631.74","44,952.88","45,757.84","44,952.88","484.73M","1.89%"
"2025- 08- 21","44,785.50","44,808.21","44,892.61","44,579.03","414.56M","-0.34%"
"2025- 08- 20","44,938.31","44,922.70","45,033.75","44,767.97","512.55M","0.04%"
"2025- 08- 19","44,922.27","44,952.36","45,207.39","44,816.50","466.01M","0.02%"
"2025- 08- 18","44,911.82","44,963.17","44,998.83","44,868.32","416.46M","-0.08%"
"2025- 08- 15","44,946.12","45,159.91","45,203.52","44,897.98","547.28M","0.08%"
"2025- 08- 14","44,911.26","44,890.84","44,948.70","44,690.50","453.53M","-0.02%"
"2025- 08- 13","44,922.27","44,571.53","44,949.12","44,571.53","521.43M","1.04%"
